ticker,name,target,horizon
AFKS.MCX,Afk Sistema,50,2022-12-01
AMR,Alpha Metallurgical,100,2022-12-01
ARVL,Arrival,50,2023-12-01
BAYN.DE,Bayer,150,2024-12-01
FESH.MCX,DVMP,50,2022-06-01
ENPG.MCX,EN+ Group,5500,2026-12-01
GAZP.MCX,Gazprom AP,500,2022-06-01
GLTR.MCX,Globaltrans,800,2022-04-01
IRAO.MCX,Inter RAO,10,2023-06-01
MTLRP.MCX,Mechel AP,500,2022-06-01
NFAZ.MCX,NefAZ,500,2023-06-01
OGKB.MCX,OGK-2,1,2023-06-01
VTBR.MCX,PAO Bank VTB,0.136,2022-07-01
ZILL.MCX,PAO ZIL,10400,2024-04-01
BTU,Peabody Energy,30,2022-06-01
POGR.MCX,Petropavlovsk,50,2022-06-01
METC,Ramaco Resources,25,2022-06-01
RASP.MCX,Raspadskaya,600,2022-12-01
ROSN.MCX,Rosneft,800,2022-12-01
AGRO.MCX,RusAgro,1500,2022-03-01
RUAL.MCX,Rusal,100,2022-03-01
SBERP.MCX,Sberbank AP,360,2022-04-01
SNGSP.MCX,Surgutneftegaz AP,60,2023-06-01
TCS.LSE,TCS Group,150,2023-06-01
VEON,Veon,4.054054054,2022-07-01
HCC,Warrior Metcoal,100,2022-08-01
ETLN.MCX,Etalon Group,250,2022-12-01
NKNCP.MCX,NKNKH,150,2023-06-01
ARCH,Arch Resources,223,2022-12-01
BANEP.MCX,Bashneft,1500,2022-04-01
LKOH.MCX,LukOil Moscow,8500,2022-04-01
UWGN.MCX,OVK,900,2024-06-01
TTLK.MCX,Tattelecom,1,2022-06-01
MAIL.MCX,VK Group,2800,2022-12-01
SGZH.MCX,Segezha Group,20,2023-06-01
OZON.MCX,Ozon Group,6000,2022-12-01
YAKG.MCX,Yatek,1400,2023-12-31